node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[8,7]	-0.0724	0.1833	-0.434	0.2815	1.0032	890
LOR[2,1]	-1.0444	0.5056	-2.0151	-0.0311	1.0013	5400
LOR[3,1]	-0.7891	0.4729	-1.7045	0.1569	1.0011	11000
LOR[4,1]	-0.3522	0.2982	-0.9155	0.251	1.0013	5100
LOR[5,1]	-0.5191	0.3099	-1.1055	0.0996	1.0027	1100
LOR[6,1]	-0.1445	0.2806	-0.6994	0.399	1.0024	1400
LOR[7,1]	-0.5228	0.1881	-0.8964	-0.1606	1.0012	6900
LOR[8,1]	-0.5827	0.1678	-0.9229	-0.2657	1.0038	690
LOR[3,2]	0.2553	0.5412	-0.8203	1.3111	1.001	27000
LOR[4,2]	0.6923	0.5366	-0.3812	1.7143	1.0011	14000
LOR[5,2]	0.5254	0.5567	-0.5947	1.5906	1.001	27000
LOR[6,2]	0.8999	0.5056	-0.1318	1.8452	1.0011	15000
LOR[7,2]	0.5216	0.4992	-0.5064	1.4505	1.0011	12000
LOR[8,2]	0.4617	0.4953	-0.5553	1.3867	1.001	27000
LOR[4,3]	0.4369	0.5139	-0.5857	1.4211	1.0011	16000
LOR[5,3]	0.27	0.5331	-0.7942	1.2874	1.0011	12000
LOR[6,3]	0.6446	0.4709	-0.3153	1.526	1.0012	6800
LOR[7,3]	0.2663	0.4646	-0.6749	1.1414	1.001	27000
LOR[8,3]	0.2063	0.459	-0.7279	1.0724	1.0011	14000
LOR[5,4]	-0.1669	0.3808	-0.914	0.5711	1.0016	2900
LOR[6,4]	0.2076	0.3635	-0.5351	0.8969	1.0011	11000
LOR[7,4]	-0.1706	0.3122	-0.8085	0.4183	1.0011	10000
LOR[8,4]	-0.2306	0.3031	-0.8542	0.3234	1.0011	11000
LOR[6,5]	0.3745	0.3787	-0.3779	1.1	1.0014	4200
LOR[7,5]	-0.0037	0.3232	-0.6523	0.6096	1.0019	2200
LOR[8,5]	-0.0637	0.3156	-0.6981	0.5286	1.0013	5000
LOR[7,6]	-0.3783	0.2894	-0.9495	0.1898	1.0018	2400
LOR[8,6]	-0.4382	0.2706	-0.9735	0.0847	1.001	19000
LOR[8,7]	-0.0599	0.1856	-0.4282	0.3023	1.0021	1800
LOR[2,1]	-1.081	0.5131	-2.0521	-0.0371	1.001	27000
LOR[3,1]	-0.8339	0.4821	-1.757	0.1423	1.0015	3500
LOR[4,1]	-0.3687	0.3034	-0.9424	0.2483	1.0025	1300
LOR[5,1]	-0.5382	0.3093	-1.1365	0.0727	1.0015	3800
LOR[6,1]	-0.188	0.2821	-0.7503	0.359	1.0025	1300
LOR[7,1]	-0.5436	0.1837	-0.9112	-0.1904	1.0034	800
LOR[8,1]	-0.6048	0.1664	-0.9416	-0.2891	1.0019	2000
LOR[3,2]	0.2471	0.5426	-0.835	1.2896	1.0011	10000
LOR[4,2]	0.7123	0.5538	-0.4012	1.7699	1.0012	6500
LOR[5,2]	0.5428	0.5576	-0.5888	1.6041	1.0012	7900
LOR[6,2]	0.893	0.5121	-0.1642	1.8354	1.0013	5900
LOR[7,2]	0.5374	0.5097	-0.5089	1.4841	1.0011	11000
LOR[8,2]	0.4762	0.504	-0.5701	1.4034	1.0009	27000
LOR[4,3]	0.4651	0.5228	-0.5778	1.4711	1.0011	17000
LOR[5,3]	0.2957	0.5357	-0.7856	1.3122	1.0015	3700
LOR[6,3]	0.6459	0.4788	-0.3148	1.5377	1.0011	10000
LOR[7,3]	0.2902	0.4775	-0.6781	1.1874	1.0011	16000
LOR[8,3]	0.2291	0.4718	-0.7335	1.1057	1.0011	11000
LOR[5,4]	-0.1694	0.3806	-0.9216	0.5649	1.0016	3100
LOR[6,4]	0.1808	0.3709	-0.5627	0.8866	1.001	27000
LOR[7,4]	-0.1749	0.3151	-0.808	0.4203	1.001	25000
LOR[8,4]	-0.236	0.307	-0.8646	0.3371	1.0017	2500
LOR[6,5]	0.3502	0.3802	-0.4003	1.0859	1.0014	4200
LOR[7,5]	-0.0055	0.3215	-0.6349	0.6082	1.0015	3600
LOR[8,5]	-0.0666	0.3138	-0.6877	0.5277	1.0018	2400
LOR[7,6]	-0.3557	0.294	-0.927	0.2205	1.001	27000
LOR[8,6]	-0.4168	0.2739	-0.9537	0.1205	1.0019	2000
LOR[8,7]	-0.0611	0.1874	-0.4317	0.3006	1.002	1900
LOR[2,1]	-0.7058	0.5142	-1.7014	0.2992	1.0017	2600
LOR[3,1]	-0.4609	0.4839	-1.4005	0.4759	1.0022	1600
LOR[4,1]	-0.1296	0.3138	-0.7261	0.4883	1.0023	1400
LOR[5,1]	-0.2898	0.315	-0.9135	0.318	1.0012	6700
LOR[6,1]	0.0764	0.2705	-0.4778	0.5908	1.0019	2100
LOR[7,1]	-0.3744	0.1826	-0.7417	-0.0212	1.0012	8400
LOR[8,1]	-0.4463	0.1643	-0.7807	-0.1343	1.001	19000
LOR[3,2]	0.245	0.5815	-0.8932	1.3641	1.0011	16000
LOR[4,2]	0.5763	0.5647	-0.5212	1.6635	1.003	970
LOR[5,2]	0.416	0.5688	-0.7013	1.5169	1.0019	2200
LOR[6,2]	0.7822	0.5212	-0.2531	1.7663	1.0012	6700
LOR[7,2]	0.3314	0.5161	-0.6795	1.317	1.0016	3200
LOR[8,2]	0.2595	0.5104	-0.7464	1.2118	1.0019	2200
LOR[4,3]	0.3313	0.5374	-0.7239	1.3807	1.0036	750
LOR[5,3]	0.1711	0.5399	-0.9042	1.2126	1.0021	1700
LOR[6,3]	0.5373	0.4894	-0.4235	1.4575	1.0013	5400
LOR[7,3]	0.0864	0.4845	-0.8637	1.0046	1.0019	2000
LOR[8,3]	0.0145	0.4805	-0.9244	0.9303	1.0024	1400
LOR[5,4]	-0.1602	0.4029	-0.9581	0.6057	1.0015	3600
LOR[6,4]	0.206	0.3779	-0.5521	0.9289	1.0033	840
LOR[7,4]	-0.2449	0.3291	-0.8949	0.3882	1.0025	1300
LOR[8,4]	-0.3168	0.325	-0.9628	0.2968	1.0019	2000
LOR[6,5]	0.3662	0.3826	-0.3834	1.1149	1.0015	3600
LOR[7,5]	-0.0847	0.3282	-0.7183	0.5624	1.0011	11000
LOR[8,5]	-0.1566	0.3285	-0.7896	0.4781	1.0011	13000
LOR[7,6]	-0.4508	0.285	-1.0041	0.1163	1.0014	4600
LOR[8,6]	-0.5227	0.2705	-1.0526	0.016	1.0021	1800
LOR[8,7]	-0.0719	0.1939	-0.4616	0.3042	1.0012	7700
LOR[2,1]	-0.7435	0.5164	-1.7505	0.2493	1.0013	6400
LOR[3,1]	-0.5088	0.4827	-1.4456	0.4219	1.0016	3100
LOR[4,1]	-0.1496	0.3185	-0.7603	0.4792	1.0024	1300
LOR[5,1]	-0.3234	0.3142	-0.9387	0.2772	1.0012	7200
LOR[6,1]	0.0406	0.2718	-0.5091	0.553	1.002	1800
LOR[7,1]	-0.4009	0.1865	-0.7721	-0.0376	1.0012	9500
LOR[8,1]	-0.471	0.1675	-0.8122	-0.1539	1.0015	3600
LOR[3,2]	0.2347	0.5746	-0.8765	1.3495	1.001	27000
LOR[4,2]	0.5939	0.5701	-0.5163	1.6965	1.0011	14000
LOR[5,2]	0.4201	0.5743	-0.7106	1.5234	1.0011	10000
LOR[6,2]	0.7841	0.5255	-0.2638	1.7808	1.001	27000
LOR[7,2]	0.3426	0.5154	-0.6673	1.3397	1.0013	6100
LOR[8,2]	0.2725	0.5106	-0.7219	1.2558	1.0011	18000
LOR[4,3]	0.3592	0.534	-0.6738	1.4028	1.0011	15000
LOR[5,3]	0.1854	0.5357	-0.867	1.2139	1.0013	5300
LOR[6,3]	0.5494	0.4857	-0.4091	1.4663	1.001	25000
LOR[7,3]	0.1079	0.4781	-0.8282	1.0368	1.0016	2900
LOR[8,3]	0.0378	0.4746	-0.8949	0.9494	1.0013	6300
LOR[5,4]	-0.1738	0.4016	-0.9737	0.5819	1.0013	5000
LOR[6,4]	0.1902	0.3801	-0.5628	0.922	1.0015	3900
LOR[7,4]	-0.2513	0.3332	-0.9034	0.3904	1.0027	1200
LOR[8,4]	-0.3214	0.3279	-0.9785	0.3033	1.0017	2800
LOR[6,5]	0.364	0.3799	-0.3851	1.1019	1.0015	3700
LOR[7,5]	-0.0775	0.328	-0.7158	0.5588	1.0015	3700
LOR[8,5]	-0.1476	0.322	-0.764	0.4795	1.0011	14000
LOR[7,6]	-0.4415	0.2883	-0.9947	0.1291	1.0019	2200
LOR[8,6]	-0.5116	0.2715	-1.0393	0.0239	1.0014	4600
LOR[8,7]	-0.07	0.1937	-0.4613	0.3042	1.0016	2900
LOR[2,1]	-0.8309	0.5227	-1.8445	0.1855	1.0038	700
LOR[3,1]	-0.6008	0.4853	-1.5441	0.3395	1.0018	2200
LOR[4,1]	-0.1969	0.3154	-0.7977	0.4288	1.0016	3300
LOR[5,1]	-0.3724	0.3173	-0.9944	0.2359	1.0014	4100
LOR[6,1]	-0.0222	0.2768	-0.5894	0.4995	1.002	1800
LOR[7,1]	-0.4456	0.1865	-0.8177	-0.0825	1.0029	1000
LOR[8,1]	-0.5081	0.17	-0.8531	-0.1864	1.0029	1000
LOR[3,2]	0.2301	0.5774	-0.9119	1.345	1.0015	3500
LOR[4,2]	0.634	0.5748	-0.4779	1.7713	1.0023	1500
LOR[5,2]	0.4584	0.572	-0.677	1.5515	1.0024	1300
LOR[6,2]	0.8087	0.5184	-0.2074	1.7961	1.0026	1200
LOR[7,2]	0.3853	0.5185	-0.6312	1.3909	1.0025	1300
LOR[8,2]	0.3227	0.5148	-0.6872	1.3121	1.003	980
LOR[4,3]	0.4039	0.5379	-0.6346	1.4694	1.0012	6700
LOR[5,3]	0.2283	0.5416	-0.8407	1.276	1.0013	5600
LOR[6,3]	0.5786	0.4808	-0.3766	1.4994	1.0012	9300
LOR[7,3]	0.1552	0.4822	-0.7848	1.0908	1.0011	11000
LOR[8,3]	0.0927	0.4783	-0.8471	1.0194	1.0013	5200
LOR[5,4]	-0.1756	0.4019	-0.9709	0.5911	1.0009	27000
LOR[6,4]	0.1747	0.3799	-0.58	0.9021	1.0014	4400
LOR[7,4]	-0.2487	0.3317	-0.9068	0.389	1.0012	8600
LOR[8,4]	-0.3112	0.3276	-0.9694	0.2999	1.0016	2900
LOR[6,5]	0.3503	0.3822	-0.3896	1.0927	1.0014	4100
LOR[7,5]	-0.0732	0.3269	-0.7016	0.5735	1.0012	7000
LOR[8,5]	-0.1357	0.3233	-0.748	0.4973	1.0017	2800
LOR[7,6]	-0.4234	0.2896	-0.9861	0.1504	1.0011	17000
LOR[8,6]	-0.4859	0.2728	-1.0159	0.0527	1.001	26000
LOR[8,7]	-0.0625	0.1914	-0.4482	0.3021	1.0015	3900
LOR[2,1]	-0.906	0.5338	-1.9377	0.1387	1.0014	4700
LOR[3,1]	-0.681	0.4981	-1.639	0.3085	1.0016	3100
LOR[4,1]	-0.2489	0.3183	-0.8625	0.3844	1.0022	1600
LOR[5,1]	-0.4208	0.3169	-1.0443	0.1842	1.0013	6400
LOR[6,1]	-0.0802	0.2842	-0.6502	0.4607	1.0027	1100
LOR[7,1]	-0.4846	0.1929	-0.8672	-0.1093	1.0016	3100
LOR[8,1]	-0.5477	0.1766	-0.899	-0.2108	1.0013	5500
LOR[3,2]	0.225	0.5736	-0.8888	1.336	1.001	20000
LOR[4,2]	0.6571	0.5735	-0.4541	1.7601	1.0009	27000
LOR[5,2]	0.4852	0.5815	-0.6576	1.6072	1.0011	17000
LOR[6,2]	0.8258	0.5198	-0.1936	1.8227	1.0012	8600
LOR[7,2]	0.4214	0.5279	-0.6189	1.4366	1.0013	5800
LOR[8,2]	0.3583	0.5216	-0.6736	1.3513	1.0012	8000
LOR[4,3]	0.4322	0.5428	-0.6316	1.4948	1.001	22000
LOR[5,3]	0.2602	0.5469	-0.826	1.3156	1.0011	12000
LOR[6,3]	0.6008	0.4812	-0.3465	1.5106	1.001	27000
LOR[7,3]	0.1964	0.488	-0.7648	1.1351	1.0017	2600
LOR[8,3]	0.1333	0.4837	-0.8264	1.0481	1.0015	3700
LOR[5,4]	-0.1719	0.4047	-0.9656	0.601	1.0012	8100
LOR[6,4]	0.1686	0.3823	-0.6071	0.8886	1.0013	5200
LOR[7,4]	-0.2357	0.3333	-0.9032	0.402	1.0019	2100
LOR[8,4]	-0.2989	0.3289	-0.9617	0.3152	1.0016	2900
LOR[6,5]	0.3406	0.3813	-0.391	1.1015	1.0013	6400
LOR[7,5]	-0.0638	0.328	-0.6917	0.5762	1.0014	4100
LOR[8,5]	-0.1269	0.3221	-0.7379	0.5054	1.0011	10000
LOR[7,6]	-0.4044	0.2893	-0.9652	0.1665	1.0033	860
LOR[8,6]	-0.4675	0.2751	-1.0057	0.0716	1.0026	1200
LOR[8,7]	-0.0631	0.1949	-0.4532	0.3143	1.0011	9900
LOR[2,1]	-0.969	0.5329	-1.9949	0.0676	1.0024	1400
LOR[3,1]	-0.7452	0.491	-1.696	0.2124	1.0016	3300
LOR[4,1]	-0.2893	0.3174	-0.9002	0.3269	1.0015	3600
LOR[5,1]	-0.4476	0.3184	-1.0831	0.151	1.0019	2100
LOR[6,1]	-0.126	0.2868	-0.6934	0.4245	1.0034	810
LOR[7,1]	-0.5104	0.1923	-0.8892	-0.135	1.0021	1700
LOR[8,1]	-0.5772	0.1753	-0.9288	-0.2359	1.0015	3500
LOR[3,2]	0.2238	0.5778	-0.8976	1.3317	1.0012	7800
LOR[4,2]	0.6798	0.5754	-0.4401	1.7938	1.0017	2800
LOR[5,2]	0.5215	0.5848	-0.6185	1.6453	1.0014	4000
LOR[6,2]	0.8431	0.5214	-0.1852	1.8375	1.0014	4500
LOR[7,2]	0.4587	0.5313	-0.5702	1.4837	1.0017	2700
LOR[8,2]	0.3919	0.5245	-0.6439	1.3941	1.0021	1800
LOR[4,3]	0.456	0.5403	-0.6143	1.5231	1.0011	15000
LOR[5,3]	0.2977	0.546	-0.7882	1.351	1.0012	6900
LOR[6,3]	0.6193	0.4774	-0.3284	1.5208	1.0015	3900
LOR[7,3]	0.2349	0.4879	-0.7266	1.1799	1.0012	7100
LOR[8,3]	0.1681	0.4798	-0.7871	1.0884	1.0015	3900
LOR[5,4]	-0.1583	0.4031	-0.9604	0.5948	1.0016	2900
LOR[6,4]	0.1633	0.3835	-0.5994	0.8917	1.0023	1500
LOR[7,4]	-0.2211	0.3336	-0.8696	0.4269	1.0014	4000
LOR[8,4]	-0.2879	0.3306	-0.9411	0.3471	1.0016	3000
LOR[6,5]	0.3216	0.3806	-0.4177	1.0762	1.0011	14000
LOR[7,5]	-0.0628	0.3285	-0.6807	0.5953	1.0011	17000
LOR[8,5]	-0.1296	0.3284	-0.7588	0.5195	1.0013	6300
LOR[7,6]	-0.3844	0.2925	-0.9459	0.1967	1.0017	2700
LOR[8,6]	-0.4512	0.2761	-0.9859	0.0862	1.0024	1400
LOR[8,7]	-0.0668	0.1958	-0.456	0.3091	1.0012	7500
LOR[2,1]	-0.6178	0.5164	-1.636	0.3661	1.001	25000
LOR[3,1]	-0.393	0.4752	-1.3366	0.5192	1.0025	1300
LOR[4,1]	-0.0556	0.3181	-0.6637	0.5689	1.0044	580
LOR[5,1]	-0.2405	0.3118	-0.863	0.3444	1.0022	1600
LOR[6,1]	0.1121	0.266	-0.4266	0.6119	1.0043	600
LOR[7,1]	-0.3532	0.1857	-0.7192	0.0131	1.0027	1100
LOR[8,1]	-0.4249	0.1643	-0.7561	-0.1128	1.0045	570
LOR[3,2]	0.2248	0.5748	-0.8998	1.3365	1.0015	3400
LOR[4,2]	0.5622	0.5771	-0.5572	1.6871	1.0016	3100
LOR[5,2]	0.3773	0.5662	-0.7137	1.4695	1.0012	8600
LOR[6,2]	0.7299	0.5221	-0.2979	1.7352	1.0014	4500
LOR[7,2]	0.2646	0.5242	-0.7483	1.2992	1.0011	18000
LOR[8,2]	0.1929	0.5173	-0.8027	1.1908	1.001	20000
LOR[4,3]	0.3374	0.5361	-0.7063	1.3849	1.0011	12000
LOR[5,3]	0.1525	0.5339	-0.8891	1.1912	1.0016	3100
LOR[6,3]	0.5051	0.4771	-0.4423	1.4279	1.0011	17000
LOR[7,3]	0.0397	0.479	-0.8828	0.9841	1.0018	2300
LOR[8,3]	-0.032	0.4756	-0.9527	0.8878	1.0013	5800
LOR[5,4]	-0.1849	0.4048	-0.9869	0.5908	1.0016	3300
LOR[6,4]	0.1677	0.3815	-0.5956	0.9062	1.001	19000
LOR[7,4]	-0.2976	0.3369	-0.9594	0.3503	1.0036	770
LOR[8,4]	-0.3693	0.3326	-1.0218	0.2733	1.0018	2300
LOR[6,5]	0.3526	0.377	-0.3717	1.1003	1.0015	3900
LOR[7,5]	-0.1128	0.3268	-0.7316	0.5416	1.0027	1100
LOR[8,5]	-0.1845	0.3242	-0.8001	0.4599	1.0015	3500
LOR[7,6]	-0.4653	0.2897	-1.0175	0.1118	1.003	950
LOR[8,6]	-0.537	0.27	-1.0635	-0.0021	1.0014	4000
LOR[8,7]	-0.0717	0.198	-0.4706	0.3101	1.0024	1400
LOR[2,1]	-0.658	0.519	-1.6678	0.3385	1.0019	2000
LOR[3,1]	-0.4307	0.474	-1.3851	0.4686	1.0011	17000
LOR[4,1]	-0.0952	0.3164	-0.702	0.518	1.0014	4600
LOR[5,1]	-0.2621	0.3114	-0.8835	0.3244	1.0014	4300
LOR[6,1]	0.0789	0.2719	-0.4709	0.5947	1.0037	720
LOR[7,1]	-0.3716	0.1886	-0.7467	-0.0101	1.0018	2200
LOR[8,1]	-0.4425	0.168	-0.7797	-0.1176	1.0018	2300
LOR[3,2]	0.2273	0.579	-0.8998	1.3465	1.0014	4700
LOR[4,2]	0.5628	0.5745	-0.5453	1.691	1.0013	5100
LOR[5,2]	0.3959	0.5797	-0.7401	1.5096	1.0012	7000
LOR[6,2]	0.7369	0.5219	-0.2808	1.751	1.0014	4500
LOR[7,2]	0.2864	0.5184	-0.715	1.2858	1.0016	3100
LOR[8,2]	0.2155	0.5174	-0.7766	1.2099	1.0015	3900
LOR[4,3]	0.3354	0.5351	-0.6869	1.3897	1.001	27000
LOR[5,3]	0.1685	0.5424	-0.8873	1.2255	1.001	27000
LOR[6,3]	0.5095	0.4786	-0.4204	1.4461	1.0014	4900
LOR[7,3]	0.0591	0.4771	-0.8562	0.9961	1.001	27000
LOR[8,3]	-0.0118	0.4735	-0.9188	0.9183	1.0009	27000
LOR[5,4]	-0.1669	0.4071	-0.9693	0.6145	1.001	20000
LOR[6,4]	0.1741	0.3802	-0.5774	0.901	1.0014	4600
LOR[7,4]	-0.2764	0.3356	-0.9221	0.3755	1.001	27000
LOR[8,4]	-0.3473	0.33	-0.9881	0.2844	1.001	27000
LOR[6,5]	0.341	0.3816	-0.3842	1.1024	1.0017	2500
LOR[7,5]	-0.1095	0.3254	-0.725	0.542	1.0012	7600
LOR[8,5]	-0.1803	0.3213	-0.7788	0.4687	1.001	27000
LOR[7,6]	-0.4505	0.2891	-1.002	0.1232	1.0019	2200
LOR[8,6]	-0.5214	0.2725	-1.048	0.0158	1.0023	1500
LOR[8,7]	-0.0709	0.1988	-0.4684	0.3091	1.0011	10000
LOR[2,1]	-0.7226	0.5337	-1.7763	0.3075	1.0033	860
LOR[3,1]	-0.519	0.4822	-1.4636	0.403	1.0028	1100
LOR[4,1]	-0.1234	0.3182	-0.7411	0.4976	1.0013	5100
LOR[5,1]	-0.3094	0.3104	-0.9295	0.2745	1.0018	2300
LOR[6,1]	0.0203	0.2755	-0.53	0.5457	1.0012	9400
LOR[7,1]	-0.4218	0.1881	-0.7889	-0.0522	1.0024	1400
LOR[8,1]	-0.4768	0.1718	-0.8302	-0.1522	1.0018	2500
LOR[3,2]	0.2036	0.5826	-0.9373	1.3259	1.001	20000
LOR[4,2]	0.5992	0.5851	-0.5212	1.7484	1.0022	1500
LOR[5,2]	0.4132	0.5784	-0.7109	1.5333	1.0018	2200
LOR[6,2]	0.7429	0.5254	-0.2651	1.7752	1.0031	930
LOR[7,2]	0.3009	0.5302	-0.7161	1.3395	1.0022	1600
LOR[8,2]	0.2459	0.5271	-0.7705	1.2653	1.0026	1200
LOR[4,3]	0.3956	0.5419	-0.653	1.4637	1.0018	2400
LOR[5,3]	0.2096	0.5438	-0.8459	1.2715	1.0015	3600
LOR[6,3]	0.5393	0.4815	-0.4046	1.4657	1.0026	1200
LOR[7,3]	0.0972	0.4844	-0.8318	1.036	1.0018	2500
LOR[8,3]	0.0422	0.478	-0.8783	0.9693	1.0022	1600
LOR[5,4]	-0.186	0.3967	-0.9655	0.5796	1.0013	5600
LOR[6,4]	0.1437	0.3818	-0.6135	0.8779	1.0014	4300
LOR[7,4]	-0.2984	0.3357	-0.9533	0.3519	1.0012	8400
LOR[8,4]	-0.3534	0.3295	-1.0086	0.2721	1.0013	5900
LOR[6,5]	0.3297	0.3821	-0.3968	1.0883	1.0013	5800
LOR[7,5]	-0.1124	0.3237	-0.7218	0.5315	1.001	27000
LOR[8,5]	-0.1674	0.3217	-0.7783	0.4719	1.0011	11000
LOR[7,6]	-0.4421	0.2862	-0.9939	0.1262	1.0014	4400
LOR[8,6]	-0.4971	0.2736	-1.0331	0.0398	1.0011	16000
LOR[8,7]	-0.055	0.1983	-0.4529	0.3266	1.0012	8600
LOR[2,1]	-0.8094	0.5394	-1.8803	0.2191	1.0016	3200
LOR[3,1]	-0.6034	0.4969	-1.5948	0.3437	1.0028	1100
LOR[4,1]	-0.1884	0.3209	-0.8163	0.4281	1.0056	430
LOR[5,1]	-0.3603	0.3117	-0.9848	0.2216	1.0022	1600
LOR[6,1]	-0.0444	0.2857	-0.6316	0.4984	1.004	650
LOR[7,1]	-0.4649	0.1913	-0.8469	-0.0972	1.0046	550
LOR[8,1]	-0.526	0.1753	-0.8815	-0.191	1.0019	2000
LOR[3,2]	0.206	0.5866	-0.9361	1.3525	1.0012	7000
LOR[4,2]	0.6211	0.5877	-0.5171	1.7775	1.002	1900
LOR[5,2]	0.4491	0.5859	-0.6968	1.5849	1.0011	10000
LOR[6,2]	0.765	0.5226	-0.2505	1.7771	1.001	27000
LOR[7,2]	0.3446	0.5351	-0.6773	1.4005	1.0014	4500
LOR[8,2]	0.2834	0.5296	-0.7284	1.3335	1.0012	6800
LOR[4,3]	0.4151	0.5487	-0.6577	1.4947	1.0017	2700
LOR[5,3]	0.2431	0.5453	-0.8229	1.3002	1.0014	4400
LOR[6,3]	0.559	0.4782	-0.3838	1.4907	1.0011	12000
LOR[7,3]	0.1386	0.4913	-0.8073	1.1131	1.0017	2600
LOR[8,3]	0.0774	0.4858	-0.8614	1.0295	1.0021	1800
LOR[5,4]	-0.172	0.3987	-0.9625	0.5981	1.0019	2100
LOR[6,4]	0.1439	0.3791	-0.6012	0.867	1.0027	1100
LOR[7,4]	-0.2765	0.3356	-0.9231	0.3733	1.0019	2100
LOR[8,4]	-0.3377	0.3288	-0.9826	0.2986	1.0037	740
LOR[6,5]	0.3159	0.3763	-0.4186	1.06	1.0013	5100
LOR[7,5]	-0.1046	0.3243	-0.7144	0.5457	1.001	21000
LOR[8,5]	-0.1657	0.3208	-0.7678	0.4834	1.0012	6700
LOR[7,6]	-0.4205	0.2906	-0.9748	0.1614	1.0022	1600
LOR[8,6]	-0.4816	0.2743	-1.0167	0.0646	1.0025	1300
LOR[8,7]	-0.0611	0.1993	-0.4576	0.3262	1.0021	1700
LOR[2,1]	-0.8772	0.5335	-1.9167	0.1469	1.0017	2600
LOR[3,1]	-0.6618	0.4923	-1.6248	0.2859	1.0045	560
LOR[4,1]	-0.2173	0.3217	-0.8454	0.4	1.0025	1300
LOR[5,1]	-0.3892	0.3091	-1.0169	0.1907	1.0067	350
LOR[6,1]	-0.0852	0.2837	-0.66	0.4542	1.0059	400
LOR[7,1]	-0.4892	0.1908	-0.8617	-0.1182	1.0073	310
LOR[8,1]	-0.5458	0.1761	-0.9066	-0.2101	1.0054	450
LOR[3,2]	0.2154	0.582	-0.91	1.3526	1.0024	1400
LOR[4,2]	0.6599	0.5856	-0.4746	1.8028	1.001	27000
LOR[5,2]	0.488	0.5782	-0.6389	1.6049	1.0025	1300
LOR[6,2]	0.792	0.5204	-0.2202	1.7929	1.0019	2200
LOR[7,2]	0.388	0.5299	-0.6384	1.417	1.001	27000
LOR[8,2]	0.3314	0.5255	-0.6977	1.339	1.0011	16000
LOR[4,3]	0.4445	0.5472	-0.6089	1.5166	1.0022	1700
LOR[5,3]	0.2726	0.5414	-0.7886	1.3168	1.0014	4500
LOR[6,3]	0.5766	0.478	-0.3465	1.5012	1.0013	5100
LOR[7,3]	0.1726	0.4888	-0.7686	1.1335	1.0024	1300
LOR[8,3]	0.116	0.4852	-0.8242	1.0535	1.0025	1300
LOR[5,4]	-0.1719	0.3995	-0.9637	0.5885	1.0029	1000
LOR[6,4]	0.1321	0.3819	-0.614	0.8763	1.0018	2300
LOR[7,4]	-0.272	0.3377	-0.9369	0.3785	1.001	26000
LOR[8,4]	-0.3285	0.3343	-0.9829	0.314	1.001	27000
LOR[6,5]	0.304	0.3733	-0.4133	1.0465	1.0013	5100
LOR[7,5]	-0.1	0.3232	-0.709	0.5402	1.0046	550
LOR[8,5]	-0.1566	0.3206	-0.7613	0.4794	1.0039	680
LOR[7,6]	-0.404	0.2903	-0.967	0.1863	1.0028	1100
LOR[8,6]	-0.4606	0.2752	-0.9953	0.0857	1.0026	1200
LOR[8,7]	-0.0566	0.2	-0.4567	0.3303	1.0014	4500
