node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[8,7]	-0.058	0.167	-0.397	0.2628	1.0011	11000
LOR[2,1]	-1.145	0.4585	-2.0473	-0.2271	1.0022	1600
LOR[3,1]	-0.8693	0.4379	-1.7265	-0.0098	1.0024	1400
LOR[4,1]	-0.4133	0.2795	-0.9544	0.1526	1.0013	5300
LOR[5,1]	-0.6107	0.2899	-1.1583	-0.0148	1.0014	4300
LOR[6,1]	-0.2415	0.2831	-0.8095	0.3025	1.003	960
LOR[7,1]	-0.5536	0.1804	-0.9186	-0.2078	1.0015	3500
LOR[8,1]	-0.6059	0.1618	-0.9421	-0.3091	1.0016	3000
LOR[3,2]	0.2757	0.4602	-0.6569	1.1797	1.0012	8900
LOR[4,2]	0.7317	0.4817	-0.2414	1.6684	1.0017	2800
LOR[5,2]	0.5343	0.4914	-0.4672	1.4848	1.0014	4900
LOR[6,2]	0.9035	0.4658	-0.0456	1.7852	1.001	21000
LOR[7,2]	0.5914	0.4455	-0.3278	1.4481	1.0016	2800
LOR[8,2]	0.539	0.4421	-0.3796	1.3806	1.0017	2700
LOR[4,3]	0.4561	0.4635	-0.4774	1.3611	1.0016	3200
LOR[5,3]	0.2586	0.4715	-0.6825	1.1816	1.0014	4000
LOR[6,3]	0.6278	0.4393	-0.2342	1.4722	1.0011	18000
LOR[7,3]	0.3157	0.4238	-0.5458	1.1217	1.0019	2200
LOR[8,3]	0.2634	0.4221	-0.5901	1.0711	1.0018	2300
LOR[5,4]	-0.1974	0.3283	-0.8396	0.4655	1.0011	15000
LOR[6,4]	0.1717	0.3402	-0.5042	0.8373	1.0016	3000
LOR[7,4]	-0.1403	0.2786	-0.713	0.3872	1.0012	8900
LOR[8,4]	-0.1927	0.2737	-0.7644	0.3186	1.0011	15000
LOR[6,5]	0.3691	0.3547	-0.342	1.0492	1.0013	5700
LOR[7,5]	0.0571	0.2905	-0.5355	0.601	1.001	27000
LOR[8,5]	0.0047	0.2841	-0.5822	0.5317	1.001	27000
LOR[7,6]	-0.3121	0.2819	-0.8622	0.2375	1.0019	2000
LOR[8,6]	-0.3644	0.2669	-0.8977	0.1452	1.002	1900
LOR[8,7]	-0.0524	0.1665	-0.392	0.2666	1.001	27000
LOR[2,1]	-1.2204	0.4641	-2.1215	-0.2844	1.0022	1600
LOR[3,1]	-0.9335	0.442	-1.8012	-0.0572	1.0019	2000
LOR[4,1]	-0.4635	0.2822	-1.002	0.1072	1.0025	1300
LOR[5,1]	-0.6587	0.2891	-1.207	-0.0784	1.0012	6900
LOR[6,1]	-0.2923	0.2849	-0.859	0.264	1.0019	2200
LOR[7,1]	-0.5942	0.1843	-0.9601	-0.2409	1.0021	1800
LOR[8,1]	-0.6421	0.1643	-0.978	-0.3367	1.0028	1100
LOR[3,2]	0.2869	0.4574	-0.6307	1.1799	1.001	27000
LOR[4,2]	0.7569	0.4877	-0.2424	1.7055	1.0024	1400
LOR[5,2]	0.5617	0.5001	-0.4474	1.5103	1.0027	1200
LOR[6,2]	0.9281	0.4647	-0.0208	1.8245	1.0013	5200
LOR[7,2]	0.6261	0.4511	-0.2978	1.4855	1.002	1900
